symbol,organ_name,en_organ_name,exchange,type,id,industry_code,industry_name,sector,profile_status,exclude_reason,included_nonfinancial
ADC,CTCP Mỹ thuật và Truyền thông,Art Design and Communication Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
ALT,CTCP Văn hóa Tân Bình,Alta Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
AMC,CTCP Khoáng sản Á Châu,Asia Mineral Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
AME,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech Incorporation,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ,listing_only,,True
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific Investment Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
ARM,CTCP Xuất nhập khẩu Hàng không,General Aviation Import Export Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
ATS,CTCP Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,HNX,stock,1,,,,listing_only,,True
BAX,CTCP Thống Nhất,Thong Nhat Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
BBS,CTCP VICEM Bao bì Bút Sơn,VICEM Packaging But Son Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
BCC,CTCP Xi măng Bỉm Sơn,Bim Son Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
BCF,CTCP Thực phẩm Bích Chi,Bich Chi Food Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống,listing_only,,True
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Danang Books and School Equipment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
BKC,CTCP Khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống,listing_only,,True
BPC,CTCP VICEM Bao bì Bỉm Sơn,Vicem Packaging Bimson Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
BTS,CTCP Xi măng VICEM Bút Sơn,Vicem But Son Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
BTW,CTCP Cấp nước Bến Thành,Ben Thanh Water Supply Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
BXH,CTCP VICEM Bao bì Hải Phòng,Haiphong Packing VICEM Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
C69,CTCP Xây dựng 1369,1369 Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
CAG,CTCP Cảng An Giang,An Giang Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
CAN,CTCP Đồ hộp Hạ Long,Ha Long Canned Food Joint Stock Corporation,HNX,stock,1,20.0,Chế biến Thủy sản,Chế biến Thủy sản,listing_only,,True
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Yen Bai Joint Stock Forest Agricultural Products And Foodstuff Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ,listing_only,,True
CAR,CTCP Tập đoàn Giáo dục Trí Việt,Tri Viet Education Group Joint Stock Company,HNX,stock,1,,,,listing_only,,True
CCR,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
CDN,CTCP Cảng Đà Nẵng,Danang Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
CEO,CTCP Tập đoàn C.E.O,C.E.O Group Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
CET,CTCP HTC Holding,HTC Holding Joint Stock Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ,listing_only,,True
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Cam Ranh International Airport Services Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
CJC,CTCP Cơ điện Miền Trung,Central Area Electrical Mechanical Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc",listing_only,,True
CKV,CTCP COKYVINA,COKYVINA Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
CLH,CTCP Xi măng La Hiên VVMI,VVMI La Hien Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Vinacomin - Coal Import Export Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
CMC,CTCP Đầu tư CMC,CMC Investment Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn,listing_only,,True
CMS,CTCP Tập Đoàn CMH Việt Nam,CMH Viet Nam Group Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
CPC,CTCP Thuốc sát trùng Cần Thơ,Can Tho Pesticides Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
CSC,CTCP Tập đoàn Cotana,Cotana Group Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
CST,CTCP Than Cao Sơn - TKV,Cao Son Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
CTB,CTCP Chế tạo Bơm Hải Dương,Hai Duong Pump Manufacturing Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc",listing_only,,True
CTP,CTCP Tập đoàn CTP Group,CTP Group Corporation,HNX,stock,1,12.0,Nông - Lâm - Ngư,Nông - Lâm - Ngư,listing_only,,True
CTT,CTCP Chế tạo Máy - Vinacomin,Vinacomin - Machinery Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc",listing_only,,True
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8,Constrexim No 8 Investment and Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
D11,CTCP Địa ốc 11,Real Estate 11 Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Da Nang Education Development and Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Educational Book Joint Stock Company in Da Nang City,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2,Development Investment Construction Number 2 Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
DHP,CTCP Điện cơ Hải Phòng,Hai Phong Electrical Mechanical Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện,listing_only,,True
DHT,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An,Development Investment Construction Hoi An Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
DL1,CTCP Tập đoàn Alpha Seven,Alpha Seven Group Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
DNC,CTCP Điện Nước Lắp máy Hải Phòng,Hai Phong Electricity Water Machine Assembly JSC,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
DNP,CTCP DNP Holding,DNP Holding Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
DP3,CTCP Dược phẩm Trung ương 3,Central Pharmaceutical Joint Stock Company No 3,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DS3,CTCP DS3,DS3 Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
DST,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
DTD,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
DTG,CTCP Dược phẩm Tipharco,Tipharco Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DTK,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
DVM,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
DXP,CTCP Cảng Đoạn Xá,DoanXa Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Educational Book Joint Stock Company in Hanoi City,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
ECI,CTCP Tập Đoàn ECI,ECI Group Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Hanoi Education Development and Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Vietnam Enterprise Investment and Development Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn,listing_only,,True
GDW,CTCP Cấp nước Gia Định,Gia Dinh Water Supply Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
GIC,CTCP VSC Green Logistics,VSC Green Logistics Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
GKM,CTCP GKM Holdings,GKM Holdings Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
GLT,CTCP Kỹ thuật Điện Toàn cầu,Global Electrical Technology Corporation,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
GMA,CTCP G-Automobile,G-Automobile Joint Stock Company,HNX,stock,1,7.0,Bán lẻ,Bán lẻ,listing_only,,True
GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân,My Xuan Brick Tile Pottery And Construction Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
HAD,CTCP Bia Hà Nội - Hải Dương,Ha Noi - Hai Duong Beer Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống,listing_only,,True
HAT,CTCP Thương mại Bia Hà Nội,Ha Noi Beer Trading Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống,listing_only,,True
HCC,CTCP Bê tông Hòa Cầm - Intimex,Intimex - Hoa Cam Concrete Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Hai Phong Cement Transport and Trading Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
HDA,CTCP Hãng sơn Đông Á,Dong A Paint Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
HEV,CTCP Sách Đại học - Dạy nghề,Higher Education And Vocational Book Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Ha Giang Mineral and Mechanics Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
HHC,CTCP Bánh kẹo Hải Hà ,Haiha Confectionery Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống,listing_only,,True
HJS,CTCP Thủy điện Nậm Mu,Nam Mu Hydropower Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
HKT,CTCP QP Holdings,QP Holdings Joint Stock Company,HNX,stock,1,12.0,Nông - Lâm - Ngư,Nông - Lâm - Ngư,listing_only,,True
HLC,CTCP Than Hà Lầm - Vinacomin,Vinacomin - Ha Lam Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland,HUDLAND Real Estate Investment and Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
HMH,CTCP Hải Minh,Hai Minh Corporation,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
HMR,CTCP Đá Hoàng Mai,Hoang Mai Stone Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
HOM,CTCP Xi măng VICEM Hoàng Mai,VICEM Hoang Mai Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
HTC,CTCP Thương mại Hóc Môn,HocMon Trade Joint Stock Company,HNX,stock,1,7.0,Bán lẻ,Bán lẻ,listing_only,,True
HUT,CTCP Tasco,Tasco Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
HVT,CTCP Hóa chất Việt Trì,Viet Tri Chemical Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
ICG,CTCP Xây dựng Sông Hồng,Song Hong Construction Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
IDC,Tổng Công ty IDICO - CTCP,IDICO Corporation - JSC,HNX,stock,1,22.0,Tiện ích,Tiện ích,listing_only,,True
IDJ,CTCP Đầu tư IDJ Việt Nam,IDJ Vietnam Investment Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,Vinh Phuc Infrastructure Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
INC,CTCP Tư vấn Đầu tư IDICO,IDICO Investment Consultancy Joint Stock Company,HNX,stock,1,28.0,"Dịch vụ tư vấn, hỗ trợ","Dịch vụ tư vấn, hỗ trợ",listing_only,,True
INN,CTCP Bao bì và In Nông nghiệp,Agriculture Printing and Packaging Joint Stock Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ,listing_only,,True
ITQ,CTCP Tập đoàn Thiên Quang,Thien Quang Group Joint Stock Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ,listing_only,,True
KDM,CTCP Tập Đoàn GCL,GCL Group Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn,listing_only,,True
KHS,CTCP Kiên Hùng,Kien Hung Joint Stock Company,HNX,stock,1,20.0,Chế biến Thủy sản,Chế biến Thủy sản,listing_only,,True
KKC,CTCP Tập Đoàn Thành Thái,Thanh Thai Group Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
KMT,CTCP Kim khí Miền Trung,Central Viet Nam Metal Corporation,HNX,stock,1,1.0,Bán buôn,Bán buôn,listing_only,,True
KSD,CTCP Đầu tư DNA,DNA Investment Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện,listing_only,,True
KSF,CTCP Tập đoàn Sunshine,Sunshine Group Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
KST,CTCP KASATI,Kasati Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
KSV,Tổng Công ty Khoáng sản TKV - CTCP,Vinacomin - Minerals Holding Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
KTS,CTCP Đường Kon Tum,Kon Tum Sugar Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống,listing_only,,True
L14,CTCP Licogi 14,Licogi 14 Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
L18,CTCP Đầu tư và Xây dựng Số 18,Construction and Investment Joint Stock Company No 18,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
L40,CTCP Đầu Tư và Xây dựng 40,40 Investment and Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Lam Thao Fertilizers and Chemicals Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
LBE,CTCP Thương mại và Dịch vụ LVA,LVA Trading and Services Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện,Erection - Electromechanics Testing Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
LDP,CTCP Dược Lâm Đồng (Ladophar),Lam Dong Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Lam Dong Investment and Hydraulic Construction Joint - Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
LIG,CTCP Licogi 13,Licogi 13 Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
MAC,CTCP Tập đoàn Macstar,Macstar Group Corporation,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,Danang Airport Services Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
MBG,CTCP Tập đoàn MBG,MBG Group Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện,listing_only,,True
MCC,CTCP Gạch ngói Cao cấp,High Grade Brick Tile Corporation,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,Mechanics Construction and Foodstuff Joint-Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn,listing_only,,True
MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam,Investment and Construction BDC Viet Nam Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
MDC,CTCP Than Mông Dương - Vinacomin,Vinacomin - Mong Duong Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
MED,CTCP Dược Trung ương Mediplantex,Mediplantex National Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
MEL,CTCP Thép Mê Lin,Me Lin Steel Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn,listing_only,,True
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam,Quang Nam Mineral Industry Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
MKV,CTCP Dược thú Y Cai Lậy,Cai Lay Veterinary Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe,listing_only,,True
MST,CTCP Đầu tư MST,MST Investment Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Vinacomin - Viet Bac Mining Industry Holding Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
