symbol,organ_name,en_organ_name,exchange,type,id,industry_code,industry_name,sector
ADC,CTCP Mỹ thuật và Truyền thông,Art Design and Communication Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
ALT,CTCP Văn hóa Tân Bình,Alta Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
AMC,CTCP Khoáng sản Á Châu,Asia Mineral Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
AME,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech Incorporation,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific Investment Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,Asia - Pacific Securities Joint Stock Company ,HNX,stock,1,5.0,Chứng khoán,Chứng khoán
ARM,CTCP Xuất nhập khẩu Hàng không,General Aviation Import Export Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
ATS,CTCP Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,HNX,stock,1,,,
BAB,Ngân hàng TMCP Bắc Á,Bac A Commercial Joint Stock Bank,HNX,stock,1,11.0,Ngân hàng,Ngân hàng
BAX,CTCP Thống Nhất,Thong Nhat Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
BBS,CTCP VICEM Bao bì Bút Sơn,VICEM Packaging But Son Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
BCC,CTCP Xi măng Bỉm Sơn,Bim Son Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
BCF,CTCP Thực phẩm Bích Chi,Bich Chi Food Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Danang Books and School Equipment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
BKC,CTCP Khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống
BPC,CTCP VICEM Bao bì Bỉm Sơn,Vicem Packaging Bimson Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
BTS,CTCP Xi măng VICEM Bút Sơn,Vicem But Son Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
BTW,CTCP Cấp nước Bến Thành,Ben Thanh Water Supply Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích
BVS,CTCP Chứng khoán Bảo Việt,Baoviet Securities Company,HNX,stock,1,5.0,Chứng khoán,Chứng khoán
BXH,CTCP VICEM Bao bì Hải Phòng,Haiphong Packing VICEM Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
C69,CTCP Xây dựng 1369,1369 Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
CAG,CTCP Cảng An Giang,An Giang Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
CAN,CTCP Đồ hộp Hạ Long,Ha Long Canned Food Joint Stock Corporation,HNX,stock,1,20.0,Chế biến Thủy sản,Chế biến Thủy sản
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Yen Bai Joint Stock Forest Agricultural Products And Foodstuff Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ
CAR,CTCP Tập đoàn Giáo dục Trí Việt,Tri Viet Education Group Joint Stock Company,HNX,stock,1,,,
CCR,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
CDN,CTCP Cảng Đà Nẵng,Danang Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
CEO,CTCP Tập đoàn C.E.O,C.E.O Group Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
CET,CTCP HTC Holding,HTC Holding Joint Stock Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Cam Ranh International Airport Services Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
CJC,CTCP Cơ điện Miền Trung,Central Area Electrical Mechanical Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc"
CKV,CTCP COKYVINA,COKYVINA Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
CLH,CTCP Xi măng La Hiên VVMI,VVMI La Hien Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Vinacomin - Coal Import Export Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
CMC,CTCP Đầu tư CMC,CMC Investment Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn
CMS,CTCP Tập Đoàn CMH Việt Nam,CMH Viet Nam Group Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
CPC,CTCP Thuốc sát trùng Cần Thơ,Can Tho Pesticides Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
CSC,CTCP Tập đoàn Cotana,Cotana Group Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
CST,CTCP Than Cao Sơn - TKV,Cao Son Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
CTB,CTCP Chế tạo Bơm Hải Dương,Hai Duong Pump Manufacturing Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc"
CTP,CTCP Tập đoàn CTP Group,CTP Group Corporation,HNX,stock,1,12.0,Nông - Lâm - Ngư,Nông - Lâm - Ngư
CTT,CTCP Chế tạo Máy - Vinacomin,Vinacomin - Machinery Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc"
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8,Constrexim No 8 Investment and Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
D11,CTCP Địa ốc 11,Real Estate 11 Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Da Nang Education Development and Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Educational Book Joint Stock Company in Da Nang City,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2,Development Investment Construction Number 2 Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
DHP,CTCP Điện cơ Hải Phòng,Hai Phong Electrical Mechanical Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện
DHT,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An,Development Investment Construction Hoi An Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
DL1,CTCP Tập đoàn Alpha Seven,Alpha Seven Group Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
DNC,CTCP Điện Nước Lắp máy Hải Phòng,Hai Phong Electricity Water Machine Assembly JSC,HNX,stock,1,22.0,Tiện ích,Tiện ích
DNP,CTCP DNP Holding,DNP Holding Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
DP3,CTCP Dược phẩm Trung ương 3,Central Pharmaceutical Joint Stock Company No 3,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
DS3,CTCP DS3,DS3 Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
DST,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
DTD,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
DTG,CTCP Dược phẩm Tipharco,Tipharco Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
DTK,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,HNX,stock,1,22.0,Tiện ích,Tiện ích
DVM,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
DXP,CTCP Cảng Đoạn Xá,DoanXa Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Educational Book Joint Stock Company in Hanoi City,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
ECI,CTCP Tập Đoàn ECI,ECI Group Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Hanoi Education Development and Investment Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
EVS,CTCP Chứng khoán EVS,EVS Securities Joint Stock Company,HNX,stock,1,5.0,Chứng khoán,Chứng khoán
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Vietnam Enterprise Investment and Development Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn
GDW,CTCP Cấp nước Gia Định,Gia Dinh Water Supply Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích
GIC,CTCP VSC Green Logistics,VSC Green Logistics Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
GKM,CTCP GKM Holdings,GKM Holdings Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
GLT,CTCP Kỹ thuật Điện Toàn cầu,Global Electrical Technology Corporation,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
GMA,CTCP G-Automobile,G-Automobile Joint Stock Company,HNX,stock,1,7.0,Bán lẻ,Bán lẻ
GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân,My Xuan Brick Tile Pottery And Construction Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
HAD,CTCP Bia Hà Nội - Hải Dương,Ha Noi - Hai Duong Beer Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống
HAT,CTCP Thương mại Bia Hà Nội,Ha Noi Beer Trading Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống
HBS,CTCP Chứng khoán Hòa Bình,Hoa Binh Securities Joint Stock Company,HNX,stock,1,5.0,Chứng khoán,Chứng khoán
HCC,CTCP Bê tông Hòa Cầm - Intimex,Intimex - Hoa Cam Concrete Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Hai Phong Cement Transport and Trading Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
HDA,CTCP Hãng sơn Đông Á,Dong A Paint Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
HEV,CTCP Sách Đại học - Dạy nghề,Higher Education And Vocational Book Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Ha Giang Mineral and Mechanics Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
HHC,CTCP Bánh kẹo Hải Hà ,Haiha Confectionery Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống
HJS,CTCP Thủy điện Nậm Mu,Nam Mu Hydropower Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích
HKT,CTCP QP Holdings,QP Holdings Joint Stock Company,HNX,stock,1,12.0,Nông - Lâm - Ngư,Nông - Lâm - Ngư
HLC,CTCP Than Hà Lầm - Vinacomin,Vinacomin - Ha Lam Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland,HUDLAND Real Estate Investment and Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
HMH,CTCP Hải Minh,Hai Minh Corporation,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
HMR,CTCP Đá Hoàng Mai,Hoang Mai Stone Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
HOM,CTCP Xi măng VICEM Hoàng Mai,VICEM Hoang Mai Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
HTC,CTCP Thương mại Hóc Môn,HocMon Trade Joint Stock Company,HNX,stock,1,7.0,Bán lẻ,Bán lẻ
HUT,CTCP Tasco,Tasco Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
HVT,CTCP Hóa chất Việt Trì,Viet Tri Chemical Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
ICG,CTCP Xây dựng Sông Hồng,Song Hong Construction Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
IDC,Tổng Công ty IDICO - CTCP,IDICO Corporation - JSC,HNX,stock,1,22.0,Tiện ích,Tiện ích
IDJ,CTCP Đầu tư IDJ Việt Nam,IDJ Vietnam Investment Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,Vinh Phuc Infrastructure Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
INC,CTCP Tư vấn Đầu tư IDICO,IDICO Investment Consultancy Joint Stock Company,HNX,stock,1,28.0,"Dịch vụ tư vấn, hỗ trợ","Dịch vụ tư vấn, hỗ trợ"
INN,CTCP Bao bì và In Nông nghiệp,Agriculture Printing and Packaging Joint Stock Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ
IPA,CTCP Tập đoàn Đầu tư I.P.A,I.P.A Investments Group Joint Stock Company,HNX,stock,1,29.0,Tài chính khác,Tài chính khác
ITQ,CTCP Tập đoàn Thiên Quang,Thien Quang Group Joint Stock Company,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ
IVS,CTCP Chứng khoán Guotai Haitong (Việt Nam),Guotai Haitong Securities (Vietnam) Corp.,HNX,stock,1,5.0,Chứng khoán,Chứng khoán
KDM,CTCP Tập Đoàn GCL,GCL Group Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn
KHS,CTCP Kiên Hùng,Kien Hung Joint Stock Company,HNX,stock,1,20.0,Chế biến Thủy sản,Chế biến Thủy sản
KKC,CTCP Tập Đoàn Thành Thái,Thanh Thai Group Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
KMT,CTCP Kim khí Miền Trung,Central Viet Nam Metal Corporation,HNX,stock,1,1.0,Bán buôn,Bán buôn
KSD,CTCP Đầu tư DNA,DNA Investment Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện
KSF,CTCP Tập đoàn Sunshine,Sunshine Group Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
KST,CTCP KASATI,Kasati Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
KSV,Tổng Công ty Khoáng sản TKV - CTCP,Vinacomin - Minerals Holding Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
KTS,CTCP Đường Kon Tum,Kon Tum Sugar Joint Stock Company,HNX,stock,1,19.0,Thực phẩm - Đồ uống,Thực phẩm - Đồ uống
L14,CTCP Licogi 14,Licogi 14 Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
L18,CTCP Đầu tư và Xây dựng Số 18,Construction and Investment Joint Stock Company No 18,HNX,stock,1,24.0,Xây dựng,Xây dựng
L40,CTCP Đầu Tư và Xây dựng 40,40 Investment and Construction Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Lam Thao Fertilizers and Chemicals Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất
LBE,CTCP Thương mại và Dịch vụ LVA,LVA Trading and Services Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện,Erection - Electromechanics Testing Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
LDP,CTCP Dược Lâm Đồng (Ladophar),Lam Dong Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Lam Dong Investment and Hydraulic Construction Joint - Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
LIG,CTCP Licogi 13,Licogi 13 Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
MAC,CTCP Tập đoàn Macstar,Macstar Group Corporation,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,Danang Airport Services Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
MBG,CTCP Tập đoàn MBG,MBG Group Joint Stock Company,HNX,stock,1,27.0,Thiết bị điện,Thiết bị điện
MBS,CTCP Chứng khoán MB,MB Securities Joint Stock Company,HNX,stock,1,5.0,Chứng khoán,Chứng khoán
MCC,CTCP Gạch ngói Cao cấp,High Grade Brick Tile Corporation,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,Mechanics Construction and Foodstuff Joint-Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn
MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam,Investment and Construction BDC Viet Nam Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
MDC,CTCP Than Mông Dương - Vinacomin,Vinacomin - Mong Duong Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
MED,CTCP Dược Trung ương Mediplantex,Mediplantex National Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
MEL,CTCP Thép Mê Lin,Me Lin Steel Joint Stock Company,HNX,stock,1,1.0,Bán buôn,Bán buôn
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam,Quang Nam Mineral Industry Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
MKV,CTCP Dược thú Y Cai Lậy,Cai Lay Veterinary Pharmaceutical Joint Stock Company,HNX,stock,1,8.0,Chăm sóc sức khỏe,Chăm sóc sức khỏe
MST,CTCP Đầu tư MST,MST Investment Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Vinacomin - Viet Bac Mining Industry Holding Corporation,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
NAG,CTCP Tập đoàn Nagakawa,Nagakawa Group Joint Stock Company,HNX,stock,1,15.0,"SX Thiết bị, máy móc","SX Thiết bị, máy móc"
NAP,CTCP Cảng Nghệ Tĩnh,Nghe Tinh Port Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi
NBC,CTCP Than Núi Béo - Vinacomin,Vinacomin NuiBeo Coal Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng
NBP,CTCP Nhiệt điện Ninh Bình,Ninh Binh Thermal Power Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích
NBW,CTCP Cấp nước Nhà Bè,Nha Be Water Supply Joint Stock Company,HNX,stock,1,22.0,Tiện ích,Tiện ích
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản
